Site_ID *,Site_Name,"""Other_Name""",Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
MO00014,Boss-Bixby,"""<Null>""",2018-05-10, cobalt,<Null>,<Null>,-91.17,37.666,Yes,No,Yes,Yes,No,Yes,Yes,Yes
MO00014,Boss-Bixby,"""<Null>""",2018-05-10, iron,<Null>,<Null>,-91.17,37.666,Yes,No,Yes,Yes,No,Yes,Yes,Yes
MT00002,Black Butte,"""Sheep Creek""",2018-04-23,cobalt,Mr00148,<Null>,-110.894,46.775,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MT00002,Black Butte,"""Sheep Creek""",2018-04-23, copper,Mr00148,<Null>,-110.894,46.775,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MT00002,Black Butte,"""Sheep Creek""",2018-04-23, gold,Mr00148,<Null>,-110.894,46.775,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MT00002,Black Butte,"""Sheep Creek""",2018-04-23, silver,Mr00148,<Null>,-110.894,46.775,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MT00029,Smith River District,"""<Null>""",2018-04-19,cobalt,Mr00148,<Null>,-111.149,46.836,Yes,Yes,No,No,No,No,No,No
MT00029,Smith River District,"""<Null>""",2018-04-19, copper,Mr00148,<Null>,-111.149,46.836,Yes,Yes,No,No,No,No,No,No
MT00029,Smith River District,"""<Null>""",2018-04-19, gold,Mr00148,<Null>,-111.149,46.836,Yes,Yes,No,No,No,No,No,No
MT00029,Smith River District,"""<Null>""",2018-04-19, silver,Mr00148,<Null>,-111.149,46.836,Yes,Yes,No,No,No,No,No,No
NC00001,Webster District,"""<Null>""",2018-05-11,nickel,Mr00047,<Null>,-83.213,35.342,Yes,No,Yes,Yes,No,No,Yes,Yes
NC00001,Webster District,"""<Null>""",2018-05-11, cobalt,Mr00047,<Null>,-83.213,35.342,Yes,No,Yes,Yes,No,No,Yes,Yes
